"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","oz11","oz12","oz13","oz14","oz15","oz16","oz17","oz18","oz19","oz20","oz21","oz22","oz23","oz24","oz25","oz26"
-1.7084191e+000,-1.0965971e+000,-5.1772306e-001,-1.3002857e+000,-1.0037178e+000,1.0048311e+000,-1.6062366e+000,4.4586256e-001,7.5304836e-001,1.2697635e+000,-5.8747673e-001,4.3782169e-001,2.3588920e-001,-3.6661282e-001,5.7367906e-001,1.1141452e+000,1.7309104e+000,7.0789288e-001,-1.6842355e+000,-1.2562825e+000,1.4471637e+000,-1.7868169e-001,3.8806976e-001,1.5326187e-001,1.0646832e+000,-1.0084817e+000
3.4755696e-001,6.2691665e-001,2.3472503e+000,1.4459924e+000,1.8719799e+000,6.5816465e-001,-5.1787992e-001,5.7885706e-002,-9.4644211e-001,-4.4986094e-001,1.1082848e+000,4.9776765e-001,8.0705578e-002,-1.1232056e+000,-7.7181447e-001,-1.5606439e+000,-1.1665167e+000,-1.3815506e+000,7.0261761e-001,-2.5328824e-001,-7.5346934e-002,1.7404008e+000,1.1773893e+000,1.4995131e+000,3.6809606e-001,1.0116262e-001
-6.0228722e-001,-6.3765522e-001,-7.6070043e-001,-5.7380440e-001,-9.7968094e-001,-5.9661983e-001,-1.4516369e+000,9.5104303e-001,-1.1790230e+000,1.6984421e+000,-8.2559878e-001,-4.8221431e-001,-1.1918867e+000,-4.0025588e-002,1.4218575e+000,-1.0991709e+000,-1.1109101e+000,-1.5504248e+000,-1.2730282e+000,-1.1198971e+000,-1.1260563e+000,-1.4014450e-003,4.5423677e-001,-6.4072859e-001,-1.3026104e+000,4.8628930e-001
9.9468769e-001,4.8361466e-001,1.5114601e-001,-2.9415629e-001,1.9341617e-001,6.3821350e-001,7.0485832e-001,1.4001459e+000,-6.8638177e-001,4.1035482e-001,-1.1326420e-001,-1.4468482e+000,7.6748855e-001,-1.3797406e+000,-8.3023588e-001,-1.9723738e+000,1.3598587e+000,1.1566222e+000,-1.8083627e-001,1.0397030e+000,9.4681466e-002,1.6973280e+000,-1.5454057e+000,-9.4987771e-001,1.5630723e+000,-2.1783474e+000
1.2115689e+000,8.5507106e-001,3.9549210e-001,-1.3708164e+000,9.2064044e-001,1.3537566e+000,1.2430823e+000,-1.4401788e-001,-1.0683141e+000,1.0572862e+000,-7.7379677e-001,4.8166180e-001,-1.7563179e+000,1.7225343e+000,-5.5030617e-001,9.7660825e-001,1.7860175e+000,1.6847856e+000,-1.0402976e+000,-9.4906962e-001,9.6380030e-001,-9.3066242e-003,-7.3242193e-001,-1.2654356e+000,-7.3451385e-001,-2.1168814e+000
-2.1780944e-001,2.2386236e-001,-5.9480795e-001,2.5717066e-001,-8.8167310e-001,-5.9463511e-001,1.1289561e+000,-1.1484333e+000,3.0859164e-001,7.1479272e-001,-1.2424836e+000,-1.2929099e+000,5.0463904e-002,9.8494359e-001,6.9375371e-001,-2.0578284e+000,2.4475891e-001,-9.9358875e-001,1.7426725e+000,3.5124748e-001,-1.4651073e+000,8.1505177e-001,-8.7124782e-001,-3.6373166e-001,-1.1590765e+000,8.7005026e-001
-7.9179952e-001,-1.2847259e+000,-6.9511788e-001,7.8514556e-001,-5.1417367e-001,-2.7968002e-001,-1.5006675e+000,-1.2566632e+000,-1.3866653e+000,1.7895774e-001,1.2727203e+000,6.6135616e-001,-1.6819584e+000,-1.0788049e+000,-1.0615851e+000,4.2033921e-001,3.3756602e-001,-6.6844894e-001,1.5791469e+000,1.6203832e+000,1.0048605e+000,-8.8074225e-001,-1.5860818e+000,-6.2904749e-001,-7.6054873e-001,5.1646935e-002
-7.0072343e-002,-2.1790721e-001,-6.4077044e-001,-8.8230430e-001,-8.4644701e-001,-6.0858480e-002,4.5854545e-001,1.2948702e+000,-1.5516116e+000,1.1039808e+000,3.2188564e-001,7.2942719e-001,-1.4580385e+000,-1.0554855e+000,6.9733375e-001,-3.1343710e-002,-4.8154937e-002,4.5033429e-002,3.5649668e-002,-9.5428079e-001,6.6193001e-001,-6.5649872e-001,9.2738158e-001,-9.2070533e-001,-1.3790097e+000,5.6985566e-001
1.1516474e+000,1.5704083e+000,3.0330559e+000,1.4087397e+000,2.8824682e+000,3.7766267e-001,-1.5086425e+000,1.6034062e+000,-5.2473688e-001,-1.0248495e+000,-1.3902278e+000,-1.4268216e+000,-1.0491529e+000,1.3905812e+000,-1.8026236e+000,7.7375335e-001,1.2534257e+000,9.1545424e-002,1.3628515e+000,-1.4305784e+000,-1.1597361e+000,-1.3921788e+000,1.2339530e+000,1.1261842e+000,-2.9500886e-001,2.5683608e+000
-1.2305538e+000,-6.1891772e-001,-8.5346443e-001,-1.4601243e+000,-8.6723289e-001,-5.4627001e-001,-7.0299590e-002,-1.9549449e-001,1.2176702e-002,-1.3841745e+000,-1.2080186e+000,-2.7097336e-001,-1.2064620e+000,-1.8079287e+000,5.8316052e-002,-2.2705765e-001,-2.2613512e-001,-4.0309031e-001,-2.8419922e-001,-1.1556417e+000,1.2200493e+000,1.3943762e+000,7.3367218e-003,2.5999107e-001,-9.8497609e-002,-2.2655477e-001
-2.1260101e-001,-1.1229910e+000,-1.0834833e+000,6.4520788e-001,-9.1845699e-001,-1.5252045e+000,6.5689936e-001,6.7194626e-001,-6.3741115e-001,-1.4044644e+000,-2.8349446e-001,-3.7167130e-001,1.8326363e+000,-1.5052863e+000,-1.4811642e+000,-4.2416772e-001,4.5467484e-001,-7.0953755e-001,-1.6036592e+000,6.2109938e-001,-1.9831178e-001,1.2849555e-001,1.3960798e+000,7.3866407e-001,6.0646133e-001,8.0540502e-001
-5.1138077e-001,-1.0743498e+000,-7.0827699e-001,-6.2760807e-001,-1.3076583e+000,7.6480230e-002,-1.2263952e+000,1.6876676e+000,3.3609329e-001,-2.3195277e-001,-7.2172258e-001,4.9060830e-001,3.6382506e-001,-3.5615960e-001,-1.3188738e+000,1.0482752e+000,-5.2029300e-001,1.4971686e+000,-6.3825768e-001,-1.3409995e+000,2.1513971e-001,-4.4656051e-001,1.0795413e+000,1.0486191e+000,1.6915908e+000,-4.0857527e-001
1.8687695e+000,1.5440020e+000,1.9030849e-001,-8.6539802e-001,3.8134612e-001,-8.7181742e-001,1.4019031e+000,-3.7976178e-001,-5.6891253e-001,-7.6054067e-001,6.1750303e-001,-5.1896731e-001,4.4562084e-001,-1.3673480e+000,1.0842695e+000,-1.5814869e+000,1.1507219e+000,8.1591485e-002,6.4023610e-002,3.8705362e-001,1.0981588e+000,-9.9995899e-001,7.4975710e-001,1.2264807e+000,1.3094221e+000,6.0605765e-001
-2.1803101e-002,-6.8937800e-001,-8.1593444e-001,-9.3915635e-001,-1.0209757e+000,-5.8852647e-001,1.7503544e+000,-1.3515133e+000,-1.2877748e+000,-2.4313651e-001,-1.3679019e+000,6.4313269e-001,1.5012518e+000,-1.3059616e+000,4.5865685e-001,-1.5304291e-001,6.4605769e-001,-6.2038087e-002,-8.6735957e-001,-1.1218404e+000,-9.7002864e-001,1.7112224e+000,-1.2778911e+000,-6.1049530e-001,1.0599730e-001,4.6288013e-001
1.1737646e+000,1.6462518e+000,4.9699233e-002,-8.1302444e-001,2.4686029e-001,-4.5096565e-001,3.3431427e-001,1.0113337e+000,5.1407948e-001,1.6140090e+000,1.1337570e+000,-1.0009053e+000,-5.4321639e-001,-3.4258557e-001,-9.9640701e-001,-8.0208969e-001,-7.6989672e-001,-1.0980533e+000,-1.4857582e+000,7.4974926e-001,1.2059998e+000,-1.0629129e+000,-8.1535421e-001,-1.3863012e+000,-1.3067783e+000,2.9117621e-001
-2.2394879e-002,-2.6345419e-001,-1.0115264e+000,-1.3570130e+000,-8.1634753e-001,1.0476658e+000,1.8582907e+000,-3.6191820e-001,1.3021453e+000,2.3486337e-001,1.1344420e+000,-1.0206065e+000,5.3991751e-001,-5.4531285e-001,5.3548551e-001,2.8109541e-001,1.0028252e+000,-1.4017270e+000,-4.8009035e-001,-1.3234470e+000,-1.5511106e+000,1.0905488e-001,-1.2176760e+000,-7.8796188e-001,8.4849879e-001,3.7739183e-001
7.3660494e-001,1.4557161e+000,2.8326458e-001,-5.1830147e-001,5.7878343e-001,-5.2396819e-001,-6.1887162e-001,-4.0770310e-001,1.1985637e+000,-3.4305765e-001,1.4881476e+000,1.7605591e+000,-4.2891321e-001,-5.2869874e-001,-1.6233468e+000,-2.2448784e-001,1.6661224e+000,-1.4292878e+000,9.6660902e-001,-5.4634137e-001,1.6793610e+000,8.3434622e-001,-1.1667520e+000,-1.2883524e+000,1.3519646e-001,-1.3956900e+000
-5.7375031e-001,-7.0676289e-001,-8.3272882e-001,1.0405507e+000,-4.1236644e-001,-7.4622669e-001,5.3665535e-001,1.1840122e+000,2.8226676e-001,1.5150580e+000,-1.3360078e+000,-2.9480817e-001,1.5321088e+000,7.7433859e-001,1.3517141e+000,7.0791774e-001,-1.1584984e+000,-1.0223697e+000,-1.3515301e+000,1.5946017e+000,-1.6489988e+000,-4.8717469e-001,-1.5774428e+000,-4.0717868e-001,-1.6092848e+000,1.2795379e+000
-7.2349880e-001,-1.4307958e+000,-4.8877699e-001,1.7255913e+000,-4.9963346e-001,9.8970825e-001,1.7386671e-002,6.8074852e-001,1.5584162e+000,8.8715177e-001,6.1076267e-001,-1.6302661e+000,-3.7868520e-001,8.1486628e-001,-5.7558748e-001,-1.0651545e-001,8.7294470e-001,-1.2365960e-001,-1.4500546e+000,-1.3975456e+000,-9.9669019e-001,-1.3468375e+000,1.4230323e+000,1.3096534e+000,9.9456389e-001,3.8942748e-001
-5.0375753e-001,2.3058499e-001,1.9437037e-002,-6.4065751e-001,-2.3799949e-001,3.2729389e-001,-1.0583608e-001,-1.4895900e+000,-7.8896299e-001,3.5717949e-001,6.9077029e-001,1.7219644e+000,7.2120751e-001,-1.0581704e+000,-1.1854729e+000,-5.7518460e-001,-3.8603846e-001,1.3597690e+000,-1.5490581e+000,1.1326047e+000,2.1554992e-001,2.2608217e-001,-1.4513898e+000,9.0891142e-002,5.9097789e-001,5.0737680e-001
5.0463455e-001,1.5552843e+000,3.0323066e-001,-6.0205370e-001,1.8461489e-001,4.7114001e-001,-6.6279980e-001,-1.0123949e+000,7.8865142e-001,1.4729289e+000,8.8887326e-001,-1.5343280e+000,3.4349213e-001,-3.9840328e-001,4.3345201e-001,5.7963372e-001,1.0465505e+000,8.2883518e-001,2.3221479e-001,1.4104166e+000,1.0703595e+000,4.8423306e-003,-8.7567448e-001,1.3387286e+000,-7.0277432e-001,-1.7912493e+000
-5.1062196e-001,6.7060660e-002,2.0969946e-001,-1.3492778e+000,2.7540603e-001,-1.8022507e+000,-7.3549543e-002,-9.5135990e-002,-1.0631255e+000,5.7304147e-001,5.1268855e-001,1.4427723e+000,3.7541423e-001,1.6500666e-001,-6.9703809e-001,8.4918593e-001,1.5257976e-001,1.1783382e+000,2.8139940e-001,1.5901894e-001,7.6941383e-002,9.3023443e-001,6.2791622e-001,-4.8295285e-001,5.1189913e-001,1.1402630e-001
3.8826873e-001,1.4936154e-001,1.2150578e+000,1.6659083e+000,9.8792711e-001,-6.2722096e-001,-6.7181058e-001,3.6415171e-001,-1.5114960e+000,-1.5620785e+000,-1.3047133e+000,-1.0816619e+000,1.5403574e+000,-8.0062929e-001,7.5186770e-001,-4.1410992e-001,1.0961089e+000,1.0945723e+000,2.5083590e-001,1.2444861e+000,-1.1561959e+000,-1.0803100e+000,1.2841850e+000,-1.0276918e+000,-8.0786935e-001,6.1857502e-001
-1.1185079e+000,-1.2271079e+000,-4.8432054e-001,-1.1675932e+000,-9.6027616e-001,-9.8487694e-001,1.9879959e-001,-1.4045961e-001,1.3310728e+000,-1.4989662e+000,-6.5322907e-001,1.6194831e+000,4.2700417e-002,-7.0151984e-001,1.1164068e+000,4.0091254e-001,1.1765369e+000,-1.0323672e+000,-9.4087167e-001,2.8506003e-001,1.7823622e-001,3.6524265e-001,1.6796268e+000,6.8046200e-001,-5.4270566e-001,-9.2518405e-001
1.6655854e+000,9.6547580e-001,5.2925282e-001,-1.1582141e-001,8.5737345e-001,-2.4720590e-001,-1.2731223e+000,1.2951951e-001,1.3070257e+000,1.5177406e+000,7.7829787e-001,-5.8635402e-001,-1.7948102e+000,1.3352816e+000,-1.8363552e+000,-7.8727243e-001,4.6263286e-001,-1.2841095e+000,-1.7743636e+000,-3.9379432e-002,7.5826482e-001,-1.4114570e+000,-7.8135996e-001,1.4549676e+000,2.8240771e-001,-2.7980748e-001
2.8091020e-001,-3.5990336e-001,1.8992420e-001,-1.8371517e-001,2.1277611e-001,-1.5542090e+000,3.0670065e-001,-8.5554326e-001,1.4691560e+000,-4.5024182e-001,2.4516336e-001,9.1727119e-001,-4.7012484e-001,7.9931693e-001,8.0891717e-001,3.7995543e-001,-9.7814769e-001,4.7812513e-001,-8.1887061e-001,1.3704799e+000,1.0196851e+000,2.5204505e-001,1.5419576e+000,5.7033302e-001,-1.4421157e-001,7.3865157e-001
1.1132306e-001,7.9947313e-001,2.0608605e+000,1.5495943e+000,1.5070383e+000,1.0938809e+000,1.7108758e-001,1.5270658e+000,2.9727752e-001,4.8012075e-001,1.5063334e+000,-6.1701952e-001,1.3930315e+000,-1.6920489e+000,1.1034019e-002,1.3806752e+000,-3.8283864e-002,1.1576519e+000,-7.1315874e-001,1.4855574e+000,1.3519338e-001,1.6058045e+000,-9.7611813e-001,-5.6969119e-001,-1.2951530e+000,-1.1152391e-001
-3.8943062e-001,-8.4812336e-001,6.3193809e-002,4.1079765e-001,-4.2404215e-001,1.0521109e+000,1.1818292e+000,8.2422463e-001,1.7201572e+000,-1.5756579e+000,-4.7965946e-001,3.8251207e-001,-1.3717235e+000,-1.7525501e+000,1.3450140e+000,-1.3969870e+000,1.6882414e+000,1.5815316e+000,-4.3671750e-001,-1.5532173e+000,-1.1870462e+000,8.9844223e-001,1.2166997e+000,4.7949521e-002,-1.5993718e+000,4.4965095e-001
-1.0194246e+000,-1.4037793e+000,-8.8934094e-001,4.6203777e-001,-9.3122544e-001,1.2457452e+000,4.3917985e-001,-7.9145245e-001,-7.5657066e-001,-1.4415258e+000,8.2725846e-001,1.2713334e+000,1.5324728e+000,-1.0893854e+000,4.6205654e-001,2.7084046e-001,-6.5759023e-002,-1.5051232e+000,1.1753115e+000,-1.5629567e+000,-7.5887361e-001,-1.2051274e+000,6.9142236e-001,-5.6516937e-001,6.8799497e-001,7.7046475e-002
1.4853238e+000,1.2114401e+000,4.4725144e-001,-2.1905872e-001,7.9658807e-001,1.0093480e+000,1.5335104e+000,6.6660421e-001,-7.2639698e-001,-1.2784049e+000,1.7077921e+000,-1.2763685e+000,-8.0602395e-001,1.6779122e+000,6.6798092e-001,1.8023579e-001,-1.5670687e+000,-8.8829571e-001,5.6205712e-001,-1.8166351e-001,2.2248904e-001,-8.5840731e-001,-8.6178498e-001,1.1365868e-002,7.7542572e-001,1.4190877e-001
-1.7060808e+000,-1.3492777e+000,-8.1320463e-001,-1.1366000e+000,-7.5276759e-001,9.9963871e-001,-7.6845283e-001,-6.8817440e-001,-4.7697042e-001,8.6904540e-001,-9.6504120e-001,1.3803356e+000,1.8284079e+000,1.7619198e+000,-1.1032110e+000,3.4283038e-001,-1.6415493e+000,-1.2542686e-001,2.9931147e-001,-4.5332073e-001,7.1694874e-001,9.4906415e-002,1.7142056e-001,6.3818579e-001,-1.1654974e-001,-8.8811858e-001
1.0802800e+000,1.5872499e+000,4.1628835e-001,-1.7109909e-001,1.8632730e-001,-1.7131831e+000,7.5842314e-001,1.7609876e+000,-7.8331569e-001,-1.1614680e+000,1.5722267e+000,3.1246876e-001,2.9815624e-001,-7.6955174e-001,6.7949421e-001,6.7833480e-001,-1.6794202e-001,-7.5079677e-001,4.7937671e-001,8.4445732e-002,7.7137872e-001,2.0021801e-001,1.4414267e+000,-8.3609458e-001,6.4642232e-001,3.9811630e-002
-5.8161643e-001,-1.1604399e+000,8.8213637e-002,1.1072314e+000,-6.4599298e-001,-9.4086726e-001,1.2155328e+000,-1.4155616e+000,2.0631867e-001,-9.8221799e-001,1.1341906e+000,9.6201744e-001,-1.0965709e+000,1.0257385e-001,-7.6380265e-001,1.3288334e+000,-8.0808423e-001,-4.6400934e-001,4.4902147e-001,-8.5963527e-001,6.6012558e-001,-1.2369900e-001,1.2348965e+000,1.4294026e+000,-9.9502331e-001,2.4406510e-001
-5.6997798e-001,-2.6982632e-001,-2.9875328e-001,-5.7919953e-001,-3.5823849e-001,4.3529073e-001,-8.7307508e-001,-9.5869042e-001,-1.0080148e+000,1.5755131e+000,-1.1889737e+000,-1.4161009e+000,1.5110273e-001,-2.7361992e-001,-1.5981864e+000,-1.5380333e+000,5.5341787e-002,-1.5495248e+000,2.7606898e-001,-1.5019459e+000,8.7696812e-001,-1.8883973e-001,5.4157447e-001,7.5514080e-001,-1.5813802e+000,7.1723766e-001
-5.9245004e-001,-7.7128054e-001,-7.3809476e-001,7.7374891e-004,-4.2638853e-001,7.9136719e-001,6.6527306e-001,-6.4781527e-001,-1.5783845e+000,-1.3807722e+000,-1.4035447e-001,-1.7616721e-001,4.9136075e-002,-5.8947605e-001,-1.0637078e+000,1.2240492e-001,-5.8880955e-001,-3.1953759e-001,-9.0217603e-001,2.7448748e-001,-3.4864327e-001,7.1703716e-001,1.1696682e+000,7.3098185e-002,-4.0850536e-001,3.7306317e-001
-1.0441623e+000,-2.6523508e-001,-1.2634839e+000,-1.1177311e+000,-4.9207535e-001,1.1632526e+000,-7.3965272e-002,2.6840499e-001,-1.3164641e+000,1.2558140e+000,-1.0304479e+000,-3.1087817e-001,-8.1681429e-001,-2.9226827e-001,-3.3820281e-002,-3.3427851e-001,-1.0319353e+000,-2.3725514e-001,3.0440117e-004,5.7841476e-001,1.3004949e+000,1.8685111e+000,-1.6874435e+000,6.1171766e-001,-1.5458472e+000,8.0928759e-001
-1.8145720e+000,-1.4524803e+000,-1.3347349e+000,-1.0830412e+000,-8.0302312e-001,-1.6894333e+000,9.8768549e-001,-1.4029885e+000,1.7659297e+000,1.1990119e+000,1.2127308e+000,-1.5931086e+000,8.3659146e-001,6.6481582e-001,-1.3493175e+000,1.4239883e+000,1.0015328e-001,8.8468963e-001,7.8310847e-001,-1.4339351e-001,3.3918790e-001,2.0095897e-001,1.3888801e-001,-1.1360970e+000,-8.9926380e-001,-4.8714299e-001
-4.6973390e-001,-8.0075861e-001,-5.5523459e-001,8.5584777e-001,-6.2245229e-001,-1.8704634e+000,1.2274657e+000,-2.3634098e-001,1.6829450e+000,-2.4872913e-001,-7.0982368e-001,-6.1148603e-001,-1.5147782e-001,1.3912874e+000,1.3470498e+000,-1.4009275e+000,4.2782199e-002,1.1024736e+000,-1.2910270e-001,1.4878455e+000,1.4485030e+000,6.3477040e-001,-6.8024365e-001,-1.0481055e+000,3.2908190e-001,1.0266874e+000
6.0472744e-001,3.1612992e-001,-1.5581174e-001,-7.3610081e-001,-1.3469257e-001,1.6037332e+000,1.0383940e+000,9.4369370e-001,4.8462805e-001,-2.0233193e-001,-2.8041193e-001,4.8887399e-001,5.3073195e-001,1.6493012e+000,-8.3822723e-001,6.6007742e-001,-1.1642388e+000,-1.5131505e+000,-1.0775574e+000,5.3875684e-001,-1.2057374e+000,-1.2832799e+000,-9.9431854e-001,2.6891947e-001,2.7851699e-001,-1.2362477e+000
5.9805312e-001,4.7242530e-001,1.0600179e+000,1.1518046e+000,1.3645636e+000,-3.8201577e-001,1.6259399e+000,-1.2320392e-003,-6.6209832e-001,5.3618092e-001,6.3603736e-001,-4.7125963e-001,-1.6763611e-001,3.2118744e-001,9.6667235e-001,2.8238286e-001,-9.7315930e-001,9.6106853e-001,1.6428992e-001,-8.7843339e-001,4.4676470e-001,1.4051529e+000,1.2732182e-001,9.6338342e-002,-1.2995578e+000,-5.0512462e-001
8.1192397e-001,1.0603908e+000,3.5640441e-001,-3.3312875e-001,3.8377768e-001,-9.6821138e-001,-1.5393964e+000,-9.4477738e-001,-5.4372196e-001,9.3087420e-001,2.5994191e-001,2.5637002e-001,1.5917206e+000,-1.4522406e+000,8.9916678e-001,1.3995189e+000,1.5650716e-001,6.6381089e-001,4.3508771e-001,1.7641865e+000,-1.1540105e-001,-1.1872559e+000,4.6980287e-001,-1.2684148e+000,-1.0898578e+000,-2.0366107e+000
-8.1615247e-001,-1.0227672e+000,-3.2952031e-001,-2.5681272e-001,-4.6790756e-001,1.6217066e+000,-1.7111886e+000,-1.1549062e+000,1.1827071e+000,7.6307751e-002,-1.2040991e+000,2.0708932e-001,9.0910500e-001,-2.0081727e-001,-3.3984590e-001,-1.0174290e+000,1.1746032e+000,1.4541663e-001,2.3845570e-001,6.9010955e-001,-1.3168093e+000,-1.3515743e+000,-8.9274087e-001,1.6627875e+000,1.5893436e+000,-1.1742285e-001
4.4641927e-001,4.7639612e-001,-9.9126221e-001,-1.0686309e+000,-5.9853770e-001,-1.0810548e+000,-4.8798847e-001,1.9498390e+000,7.8002821e-001,1.3250592e+000,-5.1814537e-001,2.7944017e-001,1.4331024e+000,5.7762568e-001,-8.6315756e-001,-1.7390145e-001,-8.5052083e-001,-6.4473098e-001,-3.8631187e-001,8.0630752e-002,-7.3228749e-001,3.4287263e-001,-7.6088303e-002,-1.1831388e+000,-3.9094458e-001,-1.4866593e+000
-1.6395635e+000,-1.1304926e+000,-1.5146850e+000,-1.2268612e+000,-9.9681926e-001,1.5472713e+000,6.7601411e-002,-4.7223892e-001,1.4621093e+000,2.6894986e-001,1.7181546e+000,-7.1172404e-001,-6.1027837e-001,5.7130872e-001,1.2625532e-001,1.1090496e+000,1.8379981e-001,-1.1988539e+000,-6.8394049e-001,-1.2901561e+000,-1.6023104e+000,9.3215546e-001,2.9096490e-001,-4.6679448e-001,8.5852242e-001,-2.3420022e-001
9.9883847e-001,1.2283431e+000,6.7854308e-001,2.9024600e-001,8.8340678e-001,-1.4582043e+000,1.2425749e+000,-4.3107720e-001,-1.3734959e+000,-6.4399462e-002,7.1736648e-001,-3.9404179e-001,1.0372830e+000,1.2504622e+000,1.1195588e+000,8.5779364e-002,-1.6954769e+000,-7.0262409e-002,1.0626122e+000,1.3968283e+000,3.8298253e-001,4.1102066e-001,1.1475171e-001,-4.0693608e-002,-1.4680447e+000,-1.1060255e+000
-5.7791615e-001,-2.6427902e-001,4.7032126e-001,9.1243996e-001,-3.1768587e-001,5.8282155e-001,1.2003346e+000,-3.8961280e-001,-5.0677295e-001,-8.0696270e-001,1.6454188e+000,-1.2157599e+000,-1.2657373e+000,-3.6185607e-001,2.8753089e-001,9.8180752e-001,4.8218328e-001,1.3815865e+000,7.7261917e-001,5.2269303e-001,6.1398175e-001,7.3993329e-003,2.3458978e-001,-1.5330173e+000,-1.4036299e+000,9.1858371e-001
6.2443143e-001,8.7960405e-001,1.8161799e+000,1.5956160e+000,1.6552758e+000,1.0494226e+000,-2.0760377e-002,-9.9197353e-001,1.1417508e+000,-1.0417179e+000,1.6677661e+000,-5.9610260e-001,8.1992278e-001,-9.6712876e-001,-1.8608761e+000,-1.0847327e+000,-1.5565044e+000,-6.0261627e-001,-1.0888971e+000,1.0216190e+000,9.2290405e-001,-1.1616906e+000,3.4886947e-001,-4.6527887e-001,-2.9035131e-002,-8.1272976e-001
2.9558114e-001,7.4576448e-001,1.5618468e+000,6.8520172e-001,1.0376195e+000,8.9861346e-001,-1.5652752e+000,-2.1836524e-001,1.5934239e+000,3.3301649e-001,-4.3350536e-001,-3.0952639e-001,2.2748502e-001,-1.7820361e+000,3.9722564e-001,-5.4327931e-001,-2.9237292e-001,7.3614218e-001,6.8444378e-001,1.5005667e+000,9.1075245e-001,8.8417932e-001,1.3071566e+000,8.7958285e-001,1.5400423e-001,-1.2115911e+000
9.3199952e-002,4.8097261e-001,-4.3884494e-001,-1.1885908e+000,-5.6617850e-001,-1.7798054e+000,-6.6412738e-001,2.7552704e-001,-1.1561609e-002,-8.5091491e-001,-1.2814811e+000,-1.3600701e+000,-1.3623287e+000,-9.9306821e-001,1.1073827e+000,5.2877626e-001,3.2164287e-001,-3.9747652e-001,-1.1194297e+000,6.7435165e-001,-1.6624908e+000,1.4163158e+000,-1.7012584e+000,1.3053427e+000,1.7800378e-001,-6.3001105e-001
